nume_actiune,timestamp
Afisare valute,2019-05-09T21:58:35.402+02:00
Afisare valute,2019-05-09T22:00:36.032+02:00
Afisare valute,2019-05-09T22:00:49.514+02:00
Afisare valute,2019-05-09T22:00:51.554+02:00
Afisare valute,2019-05-09T22:00:53.185+02:00
Afisare schimb valutar,2019-05-09T22:03:11.437+02:00
Istoric tranzactii,2019-05-09T22:03:14.215+02:00
Afisare valute,2019-05-10T19:03:31.138+02:00
Afisare schimb valutar,2019-05-10T19:03:32.144+02:00
Afisare valute,2019-05-10T21:00:19.868+02:00
Afisare valute,2019-05-10T21:01:05.298+02:00
Afisare schimb valutar,2019-05-10T21:01:10.594+02:00
Exit,2019-05-10T21:10:50.499+02:00
Afisare valute,2019-05-11T11:15:09.563+02:00
Afisare valute,2019-05-11T11:38:10.942+02:00
Afisare schimb valutar,2019-05-13T08:48:50.420+02:00
Creare tranzactie noua,2019-05-13T08:54:47.316+02:00
Exit,2019-05-13T09:20:17.381+02:00
Actualizare convertor valutar,2019-05-15T23:17:29.088+02:00
Actualizare curs valutar,2019-05-15T23:17:30.222+02:00
Afisare valute,2019-05-15T23:17:30.862+02:00
Afisare schimb valutar,2019-05-15T23:17:32.640+02:00
Creare tranzactie noua,2019-05-15T23:17:34.074+02:00
Istoric tranzactii,2019-05-15T23:17:37.028+02:00
Exit,2019-05-15T23:17:40.021+02:00
